ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
4610,14007965,University,"39 Wilson St, Hamilton",1387,1802821.8182,5815330.1876
12858,14007966,Comet,"486 Anglesea St, Hamilton",1388,1800405.676,5815817.0888
4656,14007966,Nawton,"486 Anglesea St, Hamilton",1389,1800405.676,5815817.0888
4610,14007987,University,"541 Grey St, Hamilton",1390,1801770.6637,5815192.3654
3720,14007988,Tamahere/Matangi,"6 Knighton Rd, Hamilton",1391,1803559.8533,5814208.5733
4618,14007988,Hamilton Gardens Uni,"6 Knighton Rd, Hamilton",1392,1803559.8533,5814208.5733
4622,14007993,Pukete,"158 Mauī St, Hamilton",1393,1795691.9741,5822022.1181
12858,14007996,Comet,"194 Ulster St, Hamilton (Settlers Motor Lodge)",1394,1800020.8614,5816419.5137
12858,14008000,Comet,"60 Prisk St, Hamilton",1395,1800315.5434,5811990.0929
4656,14008006,Nawton,"7 Holmes St, Hamilton",1396,1797271.8882,5816183.6995
4622,14008009,Pukete,"117 Beerescourt Rd, Hamilton",1397,1799180.0827,5818121.4908
3771,14008010,Orbiter,"Opp 410 Hukanui Rd, Hamilton",1398,1800304.1936,5821024.3983
4641,14008010,Flagstaff North,"Opp 410 Hukanui Rd, Hamilton",1399,1800304.1936,5821024.3983
9032,14008010,Rototuna Circular,"Opp 410 Hukanui Rd, Hamilton",1400,1800304.1936,5821024.3983
15643,14008013,Bremworth / Templeview,"4 Gibson Rd, Hamilton",1401,1797508.0018,5813670.1253
4612,14008017,Claudelands,"47 Radiata St, Hamilton",1402,1802958.8461,5818465.6508
12858,14008018,Comet,"5 Acacia Cr, Hamilton",1403,1801672.4399,5810494.5496
19537,14008025,Meteor,"29 Hyde Ave, Hamilton",1404,1797108.0585,5815760.3449
3771,14008026,Orbiter,"79 Church Rd, Hamilton (opp FlexFitness)",1405,1796570.9929,5820551.2668
4622,14008026,Pukete,"79 Church Rd, Hamilton (opp FlexFitness)",1406,1796570.9929,5820551.2668
4622,14008042,Pukete,"164 Beerescourt Rd, Hamilton",1407,1799104.825,5818344.8235
4606,14008046,Fairfield,"821 Victoria St, Hamilton",1408,1800571.3308,5816002.1424
4616,14008046,Rototuna,"821 Victoria St, Hamilton",1409,1800571.3308,5816002.1424
4622,14008046,Pukete,"821 Victoria St, Hamilton",1410,1800571.3308,5816002.1424
4648,14008046,Chartwell,"821 Victoria St, Hamilton",1411,1800571.3308,5816002.1424
9022,14008046,Flagstaff,"821 Victoria St, Hamilton",1412,1800571.3308,5816002.1424
9032,14008046,Rototuna Circular,"821 Victoria St, Hamilton",1413,1800571.3308,5816002.1424
4620,14008070,Te Rapa,"75 Tōtara Dr, Hamilton",1414,1798078.7122,5820176.7357
4622,14008070,Pukete,"75 Tōtara Dr, Hamilton",1415,1798078.7122,5820176.7357
