WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1875171.18985 5539085.9033)",233400,Waitahora,538.20962008,538.20962008,-40.25347403648665,176.23537520766646,1875171.1898304047,5539085.9033,1875171.18985,5539085.9033
"POINT (1852364.9575 5516276.48645)",233500,Kaitawa,583.13477661,583.13477661,-40.46587639227834,175.9766035522688,1852364.9574999996,5516276.486447498,1852364.9575,5516276.48645
"POINT (1840724.24625 5518023.3739)",233600,Pahiatua,3.87735045,3.87735045,-40.453610994385315,175.8388048301191,1840724.246242284,5518023.373900002,1840724.24625,5518023.3739
"POINT (1838590.648 5497108.1565)",233700,Nireaha-Eketahuna,892.66126249,892.66126249,-40.642421717303634,175.82156634264655,1838590.6479894277,5497108.156499999,1838590.648,5497108.1565
"POINT (1881485.0473 5510932.46245)",233800,Owhanga,1142.49374118,1142.49374118,-40.50459064287596,176.3219225160926,1881485.0473011315,5510932.4624499995,1881485.0473,5510932.46245
"POINT (1876460.7835 5487184.34755)",233900,Mara,69.09321449,69.09321449,-40.71987349648658,176.27313872780562,1876460.7835018523,5487184.347549999,1876460.7835,5487184.34755
"POINT (1796207.8291 5511155.47275)",234000,Kere Kere,228.65669052,228.65669052,-40.527132726960225,175.3164118453899,1796207.8291000007,5511155.472749155,1796207.8291,5511155.47275
"POINT (1789227.3606 5518399.9063)",234100,Foxton Beach,2.63742589,2.63742589,-40.463539436255616,175.23189850990454,1789227.360599999,5518399.906300852,1789227.3606,5518399.9063
"POINT (1793750.5622 5518314.3278)",234200,Foxton North,4.53325671,4.53325671,-40.46326763547046,175.28523508331324,1793750.5622166642,5518314.3278,1793750.5622,5518314.3278
"POINT (1795047.1213 5516195.31935)",234300,Foxton South,7.03783479,7.03783479,-40.48203922336743,175.30116738465998,1795047.1212929576,5516195.3193500005,1795047.1213,5516195.31935
"POINT (1791377.8427 5506342.65595)",234400,Waitarere,94.70184099,94.70184099,-40.5715861143002,175.260889424758,1791377.8426877335,5506342.6559500005,1791377.8427,5506342.65595
"POINT (1785112.13495 5498591.11305)",234500,Waikawa (Horowhenua District),62.17806512,62.17806512,-40.64279226335494,175.18919702167997,1785112.1349500064,5498591.113065335,1785112.13495,5498591.11305
"POINT (1811061.84035 5509126.35425)",234600,Miranui,296.87768823,296.87768823,-40.541748321743256,175.49230201026023,1811061.8403499997,5509126.354261239,1811061.84035,5509126.35425
"POINT (1792061.0236 5501485.31765)",234700,Donnelly Park,1.90373975,1.90373975,-40.61515266771056,175.2704336168532,1792061.0235999997,5501485.317642687,1792061.0236,5501485.31765
"POINT (1788665.09915 5495241.66395)",234800,Ohau-Manakau,42.22949015,42.22949015,-40.67213975121278,175.23219077039306,1788665.0991500001,5495241.663957117,1788665.09915,5495241.66395
"POINT (1793328.94585 5501479.63325)",234900,Kawiu South,1.02386946,1.02386946,-40.614908289221226,175.285412701925,1793328.9458553025,5501479.63325,1793328.94585,5501479.63325
